month,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
201903,6.238111260655002,5.484297891431135,6.434275459847465,4.577725437415881,5.951996410946612,5.482503364737551,5.6073351278600265,5.884477344100494,6.433041722745626,5.364737550471063,4.878869448183042,4.048452220726784,4.711305518169583,16.853970390309556,3.4973082099596238,5.670255720053836
201904,5.678836346777932,4.369262865090404,5.344691701437181,3.8953407510431153,4.94923504867872,4.398470097357441,4.846314325452017,5.2635605006954105,6.124478442280946,5.092837273991655,3.686369958275383,3.742002781641169,4.345618915159944,3.818497913769124,3.657162726008345,3.621001390820584
201905,4.911507402422611,4.1866307761327946,5.288918797667115,3.575370121130552,4.455585464333782,4.283983849259758,4.826379542395693,5.262898160610139,5.3041722745625846,4.893674293405114,3.810228802153432,3.518842530282638,4.275235531628533,3.041722745625841,3.2543741588156125,3.461978465679677
201906,4.940509583917719,3.884992987377279,5.739364188873305,3.41234221598878,3.5818139317438056,3.5988779803646564,3.2798036465638147,3.921692379616643,4.64726507713885,4.908835904628331,3.6143057503506313,3.2398316970546985,5.295932678821879,3.4375876577840114,3.492286115007013,2.9782608695652173
201907,3.5233516483516483,2.7216117216117217,3.5080128205128207,2.90521978021978,2.463369963369963,2.2486263736263736,2.8722527472527477,2.83974358974359,2.771978021978022,2.7293956043956045,2.7493131868131866,2.6634615384615383,2.8440934065934065,2.607142857142857,2.684065934065934,2.769230769230769
201908,3.123842592592593,2.5432870370370373,3.370833333333333,2.6069444444444443,2.40300925925926,2.8743055555555554,2.96875,2.821527777777778,2.647222222222222,2.611805555555556,2.654861111111111,2.4833333333333334,2.55,2.625694444444445,2.660416666666667,2.9569444444444444
201909,3.991640127388535,2.735403397027601,3.5281316348195326,2.792197452229299,3.119692144373673,2.425955414012739,2.611464968152866,2.9779723991507434,3.113853503184713,2.938694267515924,2.5414012738853504,2.628980891719745,2.944267515923567,2.820859872611465,2.6695859872611467,2.9434713375796178
201910,4.417612293144208,3.4756501182033097,4.039007092198582,2.779432624113475,3.807801418439716,2.669503546099291,2.827659574468085,3.074231678486998,3.05177304964539,2.8574468085106384,2.7404255319148936,2.7390070921985816,2.9517730496453902,2.792198581560284,2.734042553191489,3.526241134751773
201911,5.614365411436541,4.5635750813575084,6.188981868898187,3.319386331938633,5.038586703858671,3.725244072524408,3.2709205020920504,4.150627615062762,4.651324965132496,4.408995815899582,3.4546722454672247,3.49442119944212,3.913528591352859,3.939330543933055,3.326359832635984,4.2656903765690375
201912,4.694444444444445,4.059363799283154,5.560931899641576,3.8071236559139785,4.513888888888889,3.3010752688172045,3.0100806451612905,3.8237007168458783,3.872983870967742,3.664650537634409,3.611559139784946,3.3118279569892475,2.8669354838709675,2.564516129032258,2.348790322580645,7.374327956989247
